Month_End,Gold_Troy_Ounces_000s,Silver_Troy_Ounces_000s
2025-11,286260.0,874066.0
2025-10,284807.0,844105.0
2025-09,284241.0,790309.0
2025-08,283934.0,792392.0
2025-07,285015.0,778013.0
2025-06,282140.554114,764888.986673001
2025-05,276424.242644,751260.519794
2025-04,274429.0,734927.0
2025-03,272907.0,711396.0
2025-02,272535.0,722175.0
2025-01,274396.0,756457.385089
2024-12,279262.594921,827544.111276
2024-11,280226.0,850640.0
2024-10,282132.0,856141.0
2024-09,278521.0,842730.0
2024-08,278916.0,843810.0
2024-07,278145.0,855800.0
2024-06,276469.0,840297.0
2024-05,274583.0,832158.0
2024-04,274942.0,818886.0
2024-03,275287.0,823451.0
2024-02,275261.0,814023.0
2024-01,277611.0,846457.0
2023-12,279274.0,856199.0
2023-11,275977.0,845046.0
2023-10,276086.0,848831.0
2023-09,280583.0,887164.0
2023-08,282530.0,877883.0
2023-07,284998.0,864404.0
2023-06,285016.0,859957.0
2023-05,286227.0,848631.0
2023-04,288166.0,846552.0
2023-03,288020.0,848149.0
2023-02,289051.0,847077.0
2023-01-30 00:00:00,290382.0,840877.0
2022-12-30 00:00:00,291048.0,840913.0
2022-11-30 00:00:00,294793.0,840347.0
2022-10-01 00:00:00,299268.0,852075.0
2022-09-01 00:00:00,303599.0,871331.0
2022-08-01 00:00:00,307520.0,916497.0
2022-07-01 00:00:00,309180.0,950899.0
2022-06-01 00:00:00,309110.0,997405.0
2022-05-01 00:00:00,309150.0,1021041.0
2022-04-01 00:00:00,310952.0,1081730.0
2022-03-01 00:00:00,310877.0,1107969.0
2022-02-01 00:00:00,309803.0,1131432.0
2022-01-01 00:00:00,309007.0,1142061.0
2021-12-01 00:00:00,309842.0,1161454.0
2021-11-01 00:00:00,311731.0,1170959.0
2021-10-01 00:00:00,310612.0,1160965.0
2021-09-01 00:00:00,312139.0,1173050.0
2021-08-01 00:00:00,312449.0,1175664.0
2021-07-01 00:00:00,309755.0,1176371.0
2021-06-01 00:00:00,308241.0,1180113.0
2021-05-01 00:00:00,305398.0,1171586.0
2021-04-01 00:00:00,303515.0,1153154.0
2021-03-01 00:00:00,304179.0,1143194.0
2021-02-01 00:00:00,307337.0,1125154.0
2021-01-01 00:00:00,308709.0,1104241.0
2020-12-01 00:00:00,306613.0,1080538.0
2020-11-01 00:00:00,303891.0,1076242.0
2020-10-01 00:00:00,300599.0,1075121.0
2020-09-01 00:00:00,291574.0,1077299.0
2020-08-01 00:00:00,287912.0,1073500.0
2020-07-01 00:00:00,282620.0,1093482.0
2020-06-01 00:00:00,278706.0,1115657.0
2020-05-01 00:00:00,272793.0,1145072.0
2020-04-01 00:00:00,272717.0,1146719.0
2020-03-01 00:00:00,273779.0,1175737.0
2020-02-01 00:00:00,271465.0,1170061.0
2020-01-01 00:00:00,268883.0,1165549.0
2019-12-01 00:00:00,267673.0,1162162.0
2019-11-01 00:00:00,265660.0,1160517.0
2019-10-01 00:00:00,265705.0,1153427.0
2019-09-01 00:00:00,264550.0,1146308.0
2019-08-01 00:00:00,258121.0,1145738.0
2019-07-01 00:00:00,251133.0,1140675.0
2019-06-01 00:00:00,244600.0,1143018.0
2019-05-01 00:00:00,245202.0,1152110.0
2019-04-01 00:00:00,245963.0,1159570.0
2019-03-01 00:00:00,246635.0,1163695.0
2019-02-01 00:00:00,245270.0,1148400.0
2019-01-01 00:00:00,242967.0,1146502.0
2018-12-01 00:00:00,240854.0,1137680.0
2018-11-01 00:00:00,239330.0,1135782.0
2018-10-01 00:00:00,238255.0,1129268.0
2018-09-01 00:00:00,239588.0,1129624.0
2018-08-01 00:00:00,242045.0,1128297.0
2018-07-01 00:00:00,245381.0,1107680.0
2018-06-01 00:00:00,247043.0,1122091.0
2018-05-01 00:00:00,248573.0,1097000.0
2018-04-01 00:00:00,250257.0,1090476.0
2018-03-01 00:00:00,250142.0,1086259.0
2018-02-01 00:00:00,251356.0,1104999.0
2018-01-01 00:00:00,251678.0,1108613.0
2017-12-01 00:00:00,251622.0,1106489.0
2017-11-01 00:00:00,252110.0,1103662.0
2017-10-01 00:00:00,251658.0,1096559.0
2017-09-01 00:00:00,248942.0,1089013.0
2017-08-01 00:00:00,243894.0,1083032.0
2017-07-01 00:00:00,241135.0,1077855.0
2017-06-01 00:00:00,243041.0,1074647.0
2017-05-01 00:00:00,241596.0,1053498.0
2017-04-01 00:00:00,241009.0,1055393.0
2017-03-01 00:00:00,239488.0,1031321.0
2017-02-01 00:00:00,238776.0,1010268.0
2017-01-01 00:00:00,238887.0,1010942.0
2016-12-01 00:00:00,241881.0,1004313.0
2016-11-01 00:00:00,246055.0,993303.0
2016-10-01 00:00:00,246141.0,978229.0
2016-09-01 00:00:00,244025.0,969175.0
2016-08-01 00:00:00,239742.0,957798.0
2016-07-01 00:00:00,234144.0,951433.0
